Customer ID,Customer Name,Ship Mode,Category,Sub-Category,Product Name,Sales,Order Date
SC-20725,Steven Cartwright,Standard Class,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",474.43,01-01-2018
JM-15250,Janet Martin,Standard Class,Office Supplies,Storage,SAFCO Boltless Steel Shelving,454.56,01-01-2018
JM-15250,Janet Martin,Standard Class,Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",141.42,01-01-2018
JM-15250,Janet Martin,Standard Class,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,310.744,01-01-2018
JM-15250,Janet Martin,Standard Class,Office Supplies,Art,Fluorescent Highlighters by Dixon,12.736,01-01-2018
JM-15250,Janet Martin,Standard Class,Office Supplies,Binders,GBC Instant Report Kit,6.47,01-01-2018
JM-15250,Janet Martin,Standard Class,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",13.748,01-01-2018
JM-15250,Janet Martin,Standard Class,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,15.224,01-01-2018
GA-14725,Guy Armstrong,Standard Class,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",48.896,01-01-2018
AS-10045,Aaron Smayling,First Class,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,695.7,02-01-2018
AS-10045,Aaron Smayling,First Class,Office Supplies,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",15.66,02-01-2018
AS-10045,Aaron Smayling,First Class,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,28.854,02-01-2018
TS-21655,Trudy Schmidt,Second Class,Office Supplies,Art,Newell 319,31.744,02-01-2018
TS-21655,Trudy Schmidt,Second Class,Office Supplies,Appliances,Hoover Commercial SteamVac,5.432,02-01-2018
TS-21655,Trudy Schmidt,Second Class,Furniture,Tables,"Bevis Oval Conference Table, Walnut",913.43,02-01-2018
TS-21655,Trudy Schmidt,Second Class,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",372.144,02-01-2018
FW-14395,Fred Wasserman,Second Class,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,16.59,02-01-2018
CM-12385,Christopher Martinez,Standard Class,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,2022.272,03-01-2018
CM-12385,Christopher Martinez,Standard Class,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter,9.12,03-01-2018
DL-13315,Delfina Latchford,Standard Class,Office Supplies,Paper,Xerox 1905,38.88,03-01-2018
DP-13390,Dennis Pardue,Standard Class,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,33.74,06-01-2018
JF-15190,Jamie Frazer,Second Class,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,153.78,07-01-2018
JF-15190,Jamie Frazer,Second Class,Office Supplies,Storage,Tennsco Commercial Shelving,61.02,07-01-2018
JF-15190,Jamie Frazer,Second Class,Office Supplies,Supplies,Acme Galleria Hot Forged Steel Scissors with Colored Handles,110.11,07-01-2018
JF-15190,Jamie Frazer,Second Class,Office Supplies,Fasteners,Staples,7.89,07-01-2018
BW-11110,Bart Watters,First Class,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,07-01-2018
TS-21085,Thais Sissman,Standard Class,Office Supplies,Binders,Zipper Ring Binder Pockets,2.808,07-01-2018
RS-19420,Ricardo Sperren,First Class,Furniture,Tables,Balt Solid Wood Round Tables,892.98,08-01-2018
BP-11290,Beth Paige,Standard Class,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,274.491,09-01-2018
LS-16945,Linda Southworth,Standard Class,Office Supplies,Envelopes,Staple envelope,9.78,12-01-2018
DB-13120,David Bremer,Standard Class,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,760.98,12-01-2018
DA-13450,Dianna Arnett,Second Class,Office Supplies,Paper,Xerox 195,40.08,12-01-2018
DA-13450,Dianna Arnett,Second Class,Furniture,Furnishings,Flat Face Poster Frame,37.68,12-01-2018
CP-12085,Cathy Prescott,Second Class,Office Supplies,Paper,Xerox 23,32.4,13-01-2018
CP-12085,Cathy Prescott,Second Class,Office Supplies,Art,Hunt Boston Vacuum Mount KS Pencil Sharpener,209.94,13-01-2018
CP-12085,Cathy Prescott,Second Class,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164.05,13-01-2018
CP-12085,Cathy Prescott,Second Class,Furniture,Bookcases,"Hon Metal Bookcases, Black",212.94,13-01-2018
RB-19570,Rob Beeghly,First Class,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",21.744,14-01-2018
