Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Postal Code,Product ID,Category,Sub-Category,Product Name,Sales
4010,CA-2018-144463,1/01/2018,5/01/2018,Standard Class,SC-20725,Steven Cartwright,90036,FUR-FU-10001215,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",474.43
8070,CA-2018-151750,1/01/2018,5/01/2018,Standard Class,JM-15250,Janet Martin,77340,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,454.56
8071,CA-2018-151750,1/01/2018,5/01/2018,Standard Class,JM-15250,Janet Martin,77340,FUR-FU-10002116,Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",141.42
8072,CA-2018-151750,1/01/2018,5/01/2018,Standard Class,JM-15250,Janet Martin,77340,FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,310.744
8073,CA-2018-151750,1/01/2018,5/01/2018,Standard Class,JM-15250,Janet Martin,77340,OFF-AR-10003158,Office Supplies,Art,Fluorescent Highlighters by Dixon,12.736
8074,CA-2018-151750,1/01/2018,5/01/2018,Standard Class,JM-15250,Janet Martin,77340,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,6.47
8075,CA-2018-151750,1/01/2018,5/01/2018,Standard Class,JM-15250,Janet Martin,77340,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",13.748
8076,CA-2018-151750,1/01/2018,5/01/2018,Standard Class,JM-15250,Janet Martin,77340,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,15.224
849,CA-2018-107503,1/01/2018,6/01/2018,Standard Class,GA-14725,Guy Armstrong,44052,FUR-FU-10003878,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",48.896
1341,CA-2018-113481,2/01/2018,4/01/2018,First Class,AS-10045,Aaron Smayling,28540,TEC-MA-10002178,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,695.7
1342,CA-2018-113481,2/01/2018,4/01/2018,First Class,AS-10045,Aaron Smayling,28540,OFF-BI-10003694,Office Supplies,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",15.66
1343,CA-2018-113481,2/01/2018,4/01/2018,First Class,AS-10045,Aaron Smayling,28540,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,28.854
8361,CA-2018-147207,2/01/2018,4/01/2018,Second Class,TS-21655,Trudy Schmidt,79907,OFF-AR-10001955,Office Supplies,Art,Newell 319,31.744
8362,CA-2018-147207,2/01/2018,4/01/2018,Second Class,TS-21655,Trudy Schmidt,79907,OFF-AP-10000027,Office Supplies,Appliances,Hoover Commercial SteamVac,5.432
8363,CA-2018-147207,2/01/2018,4/01/2018,Second Class,TS-21655,Trudy Schmidt,79907,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",913.43
8364,CA-2018-147207,2/01/2018,4/01/2018,Second Class,TS-21655,Trudy Schmidt,79907,OFF-ST-10002615,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",372.144
9686,CA-2018-118668,2/01/2018,4/01/2018,Second Class,FW-14395,Fred Wasserman,90032,TEC-AC-10000682,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,16.59
9491,CA-2018-111738,3/01/2018,7/01/2018,Standard Class,CM-12385,Christopher Martinez,94110,OFF-BI-10004584,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,2022.272
9492,CA-2018-111738,3/01/2018,7/01/2018,Standard Class,CM-12385,Christopher Martinez,94110,OFF-AR-10000817,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter,9.12
5258,US-2018-114034,3/01/2018,8/01/2018,Standard Class,DL-13315,Delfina Latchford,91730,OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,38.88
4937,CA-2018-150931,6/01/2018,13/01/2018,Standard Class,DP-13390,Dennis Pardue,35401,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,33.74
7372,US-2018-123862,7/01/2018,9/01/2018,Second Class,JF-15190,Jamie Frazer,90805,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,153.78
7373,US-2018-123862,7/01/2018,9/01/2018,Second Class,JF-15190,Jamie Frazer,90805,OFF-ST-10002301,Office Supplies,Storage,Tennsco Commercial Shelving,61.02
7374,US-2018-123862,7/01/2018,9/01/2018,Second Class,JF-15190,Jamie Frazer,90805,OFF-SU-10004884,Office Supplies,Supplies,Acme Galleria Hot Forged Steel Scissors with Colored Handles,110.11
7375,US-2018-123862,7/01/2018,9/01/2018,Second Class,JF-15190,Jamie Frazer,90805,OFF-FA-10003112,Office Supplies,Fasteners,Staples,7.89
978,CA-2018-159366,7/01/2018,10/01/2018,First Class,BW-11110,Bart Watters,48205,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982
2121,US-2018-168690,7/01/2018,13/01/2018,Standard Class,TS-21085,Thais Sissman,32174,OFF-BI-10000145,Office Supplies,Binders,Zipper Ring Binder Pockets,2.808
2290,CA-2018-115154,8/01/2018,11/01/2018,First Class,RS-19420,Ricardo Sperren,98115,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,892.98
7221,CA-2018-154760,9/01/2018,13/01/2018,Standard Class,BP-11290,Beth Paige,19140,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,274.491
5900,CA-2018-108000,12/01/2018,16/01/2018,Standard Class,LS-16945,Linda Southworth,94110,OFF-EN-10002621,Office Supplies,Envelopes,Staple envelope,9.78
8641,US-2018-148551,12/01/2018,16/01/2018,Standard Class,DB-13120,David Bremer,75217,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,760.98
1846,US-2018-158512,12/01/2018,17/01/2018,Second Class,DA-13450,Dianna Arnett,20016,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.08
1847,US-2018-158512,12/01/2018,17/01/2018,Second Class,DA-13450,Dianna Arnett,20016,FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,37.68
6619,US-2018-167402,13/01/2018,18/01/2018,Second Class,CP-12085,Cathy Prescott,65807,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,32.4
6620,US-2018-167402,13/01/2018,18/01/2018,Second Class,CP-12085,Cathy Prescott,65807,OFF-AR-10004010,Office Supplies,Art,Hunt Boston Vacuum Mount KS Pencil Sharpener,209.94
6621,US-2018-167402,13/01/2018,18/01/2018,Second Class,CP-12085,Cathy Prescott,65807,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164.05
6622,US-2018-167402,13/01/2018,18/01/2018,Second Class,CP-12085,Cathy Prescott,65807,FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",212.94
1183,CA-2018-138779,14/01/2018,15/01/2018,First Class,RB-19570,Rob Beeghly,28540,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",21.744
1184,CA-2018-138779,14/01/2018,15/01/2018,First Class,RB-19570,Rob Beeghly,28540,TEC-PH-10003655,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,7.92
4165,US-2018-106131,14/01/2018,16/01/2018,First Class,TP-21565,Tracy Poddar,80013,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,169.064
