Customer ID,Customer Name,Ship Mode,Postal Code,Category,Sub-Category,Product Name,Sales
SC-20725,Steven Cartwright,Standard Class,90036,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",474.43
JM-15250,Janet Martin,Standard Class,77340,Office Supplies,Storage,SAFCO Boltless Steel Shelving,454.56
JM-15250,Janet Martin,Standard Class,77340,Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",141.42
JM-15250,Janet Martin,Standard Class,77340,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,310.744
JM-15250,Janet Martin,Standard Class,77340,Office Supplies,Art,Fluorescent Highlighters by Dixon,12.736
JM-15250,Janet Martin,Standard Class,77340,Office Supplies,Binders,GBC Instant Report Kit,6.47
JM-15250,Janet Martin,Standard Class,77340,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",13.748
JM-15250,Janet Martin,Standard Class,77340,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,15.224
GA-14725,Guy Armstrong,Standard Class,44052,Furniture,Furnishings,"Linden 10"" Round Wall Clock, Black",48.896
AS-10045,Aaron Smayling,First Class,28540,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone,695.7
AS-10045,Aaron Smayling,First Class,28540,Office Supplies,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",15.66
AS-10045,Aaron Smayling,First Class,28540,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,28.854
TS-21655,Trudy Schmidt,Second Class,79907,Office Supplies,Art,Newell 319,31.744
TS-21655,Trudy Schmidt,Second Class,79907,Office Supplies,Appliances,Hoover Commercial SteamVac,5.432
TS-21655,Trudy Schmidt,Second Class,79907,Furniture,Tables,"Bevis Oval Conference Table, Walnut",913.43
TS-21655,Trudy Schmidt,Second Class,79907,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",372.144
FW-14395,Fred Wasserman,Second Class,90032,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,16.59
CM-12385,Christopher Martinez,Standard Class,94110,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,2022.272
CM-12385,Christopher Martinez,Standard Class,94110,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter,9.12
DL-13315,Delfina Latchford,Standard Class,91730,Office Supplies,Paper,Xerox 1905,38.88
DP-13390,Dennis Pardue,Standard Class,35401,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,33.74
JF-15190,Jamie Frazer,Second Class,90805,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,153.78
JF-15190,Jamie Frazer,Second Class,90805,Office Supplies,Storage,Tennsco Commercial Shelving,61.02
JF-15190,Jamie Frazer,Second Class,90805,Office Supplies,Supplies,Acme Galleria Hot Forged Steel Scissors with Colored Handles,110.11
JF-15190,Jamie Frazer,Second Class,90805,Office Supplies,Fasteners,Staples,7.89
BW-11110,Bart Watters,First Class,48205,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982
TS-21085,Thais Sissman,Standard Class,32174,Office Supplies,Binders,Zipper Ring Binder Pockets,2.808
RS-19420,Ricardo Sperren,First Class,98115,Furniture,Tables,Balt Solid Wood Round Tables,892.98
BP-11290,Beth Paige,Standard Class,19140,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,274.491
LS-16945,Linda Southworth,Standard Class,94110,Office Supplies,Envelopes,Staple envelope,9.78
DB-13120,David Bremer,Standard Class,75217,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,760.98
DA-13450,Dianna Arnett,Second Class,20016,Office Supplies,Paper,Xerox 195,40.08
DA-13450,Dianna Arnett,Second Class,20016,Furniture,Furnishings,Flat Face Poster Frame,37.68
